,userId,itemId,rating,timestamp
0,1,6,5,887431973
1,1,10,3,875693118
2,1,12,5,878542960
3,1,14,5,874965706
4,1,17,3,875073198
5,1,20,4,887431883
6,1,23,4,875072895
7,1,24,3,875071713
8,1,27,2,876892946
9,1,31,3,875072144
10,1,33,4,878542699
11,1,36,2,875073180
12,1,39,4,875072173
13,1,44,5,878543541
14,1,47,4,875072125
15,1,49,3,878542478
16,1,51,4,878543275
17,1,53,3,876893206
18,1,54,3,878543308
19,1,56,4,875072716
20,1,60,5,875072370
21,1,61,4,878542420
22,1,62,3,878542282
23,1,64,5,875072404
24,1,65,4,875072125
25,1,67,3,876893054
26,1,69,3,875072262
27,1,70,3,875072895
28,1,72,4,878542678
29,1,73,3,876892774
30,1,74,1,889751736
31,1,76,4,878543176
32,1,78,1,878543176
33,1,80,4,876893008
34,1,81,5,875072865
35,1,82,5,878542589
36,1,84,4,875072923
37,1,85,3,875073180
38,1,86,5,878543541
39,1,90,4,878542300
40,1,91,5,876892636
41,1,92,3,876892425
42,1,96,5,875072716
43,1,97,3,875073128
44,1,98,4,875072404
45,1,100,5,878543541
46,1,102,2,889751736
47,1,103,1,878542845
48,1,104,1,875241619
49,1,107,4,875241619
50,1,108,5,875240920
51,1,112,1,878542441
52,1,113,5,878542738
53,1,114,5,875072173
54,1,117,3,874965739
55,1,118,3,875071927
56,1,120,1,875241637
57,1,121,4,875071823
58,1,125,3,878542960
59,1,128,4,875072573
60,1,129,5,887431908
61,1,130,3,875072002
62,1,132,4,878542889
63,1,134,4,875073067
64,1,140,1,878543133
65,1,143,1,875072631
66,1,145,2,875073067
67,1,148,2,875240799
68,1,150,5,876892196
69,1,151,4,875072865
70,1,154,5,878543541
71,1,155,2,878542201
72,1,157,4,876892918
73,1,159,3,875073180
74,1,160,4,875072547
75,1,161,4,875072303
76,1,163,4,875072442
77,1,164,3,876893171
78,1,170,5,876892856
79,1,171,5,889751711
80,1,174,5,875073198
81,1,175,5,875072547
82,1,177,5,876892701
83,1,180,3,875072573
84,1,183,5,875072262
85,1,184,4,875072956
86,1,185,4,875072631
87,1,186,4,875073128
88,1,188,3,875073128
89,1,189,3,888732928
90,1,190,5,875072125
91,1,193,4,876892654
92,1,196,5,874965677
93,1,200,3,876893098
94,1,201,3,878542960
95,1,202,5,875072442
96,1,206,4,876893205
97,1,208,5,878542960
98,1,209,4,888732908
99,1,210,4,878542909
100,1,212,4,875072895
101,1,213,2,876892896
102,1,214,4,875072520
103,1,215,3,876893145
104,1,218,3,876892856
105,1,219,1,878542327
106,1,221,5,887431921
107,1,222,4,878873388
108,1,224,5,875071484
109,1,225,2,878542738
110,1,226,3,878543176
111,1,227,4,876892946
112,1,228,5,878543541
113,1,229,4,878542075
114,1,230,4,878542420
115,1,232,3,878543196
116,1,233,2,878542552
117,1,235,5,875071589
118,1,236,4,875071898
119,1,241,4,878543133
120,1,242,5,889751633
121,1,243,1,875241390
122,1,248,4,874965954
123,1,250,4,874965706
124,1,252,2,875240677
125,1,253,5,874965970
126,1,254,1,878541392
127,1,255,2,885345822
128,1,258,5,878873389
129,1,259,1,875692979
130,1,260,1,875071713
131,1,262,3,875071421
132,1,264,2,875071713
133,1,265,4,878542441
134,1,266,1,885345728
135,1,267,4,875692955
136,1,272,3,887431647
137,2,13,4,888551922
138,2,19,3,888550871
139,2,50,5,888552084
140,2,251,5,888552084
141,2,257,4,888551062
142,2,279,4,888551745
143,2,280,3,888551441
144,2,281,3,888980240
145,2,290,3,888551441
146,2,292,4,888550774
147,2,297,4,888550871
148,2,298,3,888551441
149,2,299,4,888550774
150,2,301,4,888550631
151,2,303,4,888550774
152,2,307,3,888550066
153,2,308,3,888979945
154,2,312,3,888550631
155,2,313,5,888552084
156,2,314,1,888980085
157,2,315,1,888550774
158,2,316,5,888979693
159,3,245,1,889237247
160,3,264,2,889237297
161,3,272,2,889237055
162,3,294,2,889237224
163,3,299,3,889237199
164,3,300,2,889236939
165,3,307,3,889237224
166,3,318,4,889237482
167,3,323,2,889237269
168,3,324,2,889237247
169,3,327,4,889237455
170,3,328,5,889237455
171,3,330,2,889237297
172,3,331,4,889237455
173,3,332,1,889237224
174,3,334,3,889237122
175,3,335,1,889237269
176,3,337,1,889236983
177,3,341,1,889237055
178,3,343,3,889237122
179,3,345,3,889237004
180,3,348,4,889237455
181,3,349,3,889237269
182,3,350,3,889237076
183,3,351,3,889237315
184,3,354,3,889237004
185,4,50,5,892003526
186,4,260,4,892004275
187,4,264,3,892004275
188,4,288,4,892001445
189,4,294,5,892004409
190,4,303,5,892002352
191,4,354,5,892002353
192,4,356,3,892003459
193,4,357,4,892003525
194,4,361,5,892002353
195,5,1,4,875635748
196,5,2,3,875636053
197,5,17,4,875636198
198,5,24,4,879198229
199,5,40,4,879198109
200,5,42,5,875636360
201,5,62,4,875637575
202,5,69,1,875721555
203,5,79,3,875635895
204,5,80,2,875636511
205,5,89,5,875636033
206,5,90,3,875636297
207,5,94,3,878844651
208,5,98,3,875720691
209,5,100,5,875635349
210,5,102,3,875721196
211,5,109,5,875635350
212,5,110,1,875636493
